=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
SQU-6001591 | large_BHK_0parking | Nitesh Grand | apartment | 4 BHK | bath 4 | carpet 1628 | super 2153 | price 30560000 | floor 22 / 30 | locality sohna road | live True | verified True
SQU-6001344 | large_BHK_0parking | Mantri Heights | apartment | 4 BHK | bath 3 | carpet 1584 | super 2066 | price 27350000 | floor 0 / 13 | locality new gurgaon | live True | verified True
MAG-6002199 | house_many_floors,extreme_ppsf | Shriram Sanctuary | independent house | 2 BHK | bath 2 | carpet 88 | super 113 | price 12570000 | floor 14 / 16 | locality sohna road | live False | verified False
MAG-6001092 | extreme_ppsf | Salarpuria Heights | villa | 3 BHK | bath 2 | carpet 109 | super 147 | price 18720000 | floor 12 / 19 | locality dlf phase 3 | live True | verified False
100-6001143 | house_many_floors | My Home Serenity | independent house | 1 BHK | bath 1 | carpet 390 | super 493 | price 4860000 | floor 4 / 32 | locality new gurgaon | live False | verified True
MAG-6003069 | large_BHK_0balcony,extreme_ppsf | Assetz Boulevard Phase 1 | apartment | 4 BHK | bath 4 | carpet 138 | super 180 | price 25290000 | floor 19 / 29 | locality golf course road | live True | verified False
MAG-6002965 | extreme_ppsf | Sobha Residency | apartment | 1 BHK | bath 1 | carpet 49 | super 69 | price 6720000 | floor 10 / 11 | locality sector 65 | live False | verified True
MAG-6001519 | large_BHK_0balcony,large_BHK_0parking | Adarsh Crest | apartment | 5 BHK | bath 4 | carpet 1887 | super 2387 | price 19580000 | floor 17 / 30 | locality dlf phase 3 | live False | verified False
100-6003053 | house_many_floors | Kolte Patil Serenity Phase 1 | independent house | 3 BHK | bath 3 | carpet 1266 | super 1652 | price 13890000 | floor 11 / 24 | locality sector 49 | live True | verified False
SQU-6002656 | house_many_floors | Kolte Patil Grand | independent house | 3 BHK | bath 2 | carpet 1147 | super 1487 | price 11630000 | floor 0 / 17 | locality mg road | live True | verified True
SQU-6002433 | house_many_floors | Mantri Greens | independent house | 2 BHK | bath 2 | carpet 853 | super 1197 | price 8350000 | floor 14 / 15 | locality sector 82 | live True | verified True
100-6002315 | large_BHK_0balcony,large_BHK_0parking | Shriram Park | apartment | 4 BHK | bath 3 | carpet 1562 | super 2222 | price 19570000 | floor 13 / 14 | locality sector 56 | live True | verified True
100-6001589 | house_many_floors | My Home Crest | independent house | 3 BHK | bath 2 | carpet 1244 | super 1625 | price 13900000 | floor 23 / 28 | locality dwarka expressway | live True | verified False
DWE-6003087 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | kolte patil heights | plot | 0 BHK | bath 0 | carpet 1559 | super 1559 | price 13250000 | floor 0 / 0 | locality sector 56 | live True | verified True
MAG-6001434 | house_many_floors,extreme_ppsf | Sobha Habitat | independent house | 5 BHK | bath 4 | carpet 174 | super 238 | price 25090000 | floor 10 / 23 | locality sector 82 | live True | verified True
DWE-6002817 | large_BHK_0parking | Casagrand Enclave | apartment | 4 BHK | bath 4 | carpet 1485 | super 1943 | price 28400000 | floor 4 / 5 | locality sector 82 | live True | verified True
SQU-6002948 | house_many_floors | Godrej Pavilion | independent house | 3 BHK | bath 2 | carpet 1085 | super 1374 | price 17940000 | floor 13 / 14 | locality mg road | live True | verified False
MAG-6002757 | extreme_ppsf | Shriram Habitat | apartment | 2 BHK | bath 2 | carpet 75 | super 107 | price 14730000 | floor 2 / 26 | locality sector 49 | live False | verified False
MAG-6001840 | large_BHK_0balcony | Sobha Boulevard | apartment | 5 BHK | bath 5 | carpet 1873 | super 2461 | price 16040000 | floor 0 / 6 | locality mg road | live True | verified True
MAG-6000064 | extreme_ppsf | Lodha Habitat | apartment | 3 BHK | bath 3 | carpet 109 | super 141 | price 12830000 | floor 4 / 4 | locality dlf phase 3 | live True | verified False
MAG-6000962 | extreme_ppsf | Rohan Residency | apartment | 2 BHK | bath 1 | carpet 86 | super 122 | price 13270000 | floor 12 / 15 | locality sector 65 | live True | verified True
100-6003137 | house_many_floors | LODHA GRAND | independent house | 2 BHK | bath 2 | carpet 795 | super 1011 | price 10500000 | floor 17 / 25 | locality sector 56 | live False | verified True
MAG-6000106 | extreme_ppsf | Lodha Crest | builder floor | 2 BHK | bath 1 | carpet 79 | super 110 | price 15920000 | floor 3 / 5 | locality dwarka expressway | live True | verified True
100-6000437 | large_BHK_0balcony,large_BHK_0parking | Prestige Willows | apartment | 4 BHK | bath 4 | carpet 1534 | super 1972 | price 18170000 | floor 12 / 18 | locality mg road | live True | verified True
100-6000881 | house_many_floors | Century Pavilion | independent house | 2 BHK | bath 1 | carpet 754 | super 970 | price 8110000 | floor 19 / 30 | locality sector 65 | live True | verified False
100-6001134 | large_BHK_0balcony | Adarsh Serenity | villa | 4 BHK | bath 4 | carpet 1530 | super 2168 | price 31180000 | floor 3 / 4 | locality new gurgaon | live True | verified False
SQU-6000706 | house_many_floors | Prestige Boulevard | independent house | 2 BHK | bath 2 | carpet 812 | super 1157 | price 8880000 | floor 10 / 32 | locality sector 65 | live True | verified True
MAG-6002411 | extreme_ppsf | Salarpuria Enclave | apartment | 2 BHK | bath 2 | carpet 70 | super 95 | price 12140000 | floor 19 / 22 | locality mg road | live True | verified True
100-6002178 | house_many_floors | Kolte Patil Residency | independent house | 3 BHK | bath 3 | carpet 1165 | super 1562 | price 21390000 | floor 18 / 21 | locality new gurgaon | live True | verified True
MAG-6003412 | house_many_floors | Godrej Vista | independent house | 3 BHK | bath 3 | carpet 1283 | super 1633 | price 17630000 | floor 2 / 25 | locality dlf phase 3 | live False | verified False
ZER-6002961 | large_BHK_0parking | Kolte Patil Willows | apartment | 4 BHK | bath 4 | carpet 1560 | super 2165 | price 16300000 | floor 11 / 29 | locality sector 65 | live True | verified True
DWE-6003140 | house_many_floors | aparna meadows | independent house | 2 BHK | bath 1 | carpet 819 | super 1172 | price 16640000 | floor 14 / 27 | locality new gurgaon | live True | verified True
MAG-6001511 | extreme_ppsf | Rohan Residency | villa | 4 BHK | bath 3 | carpet 147 | super 188 | price 22600000 | floor 27 / 27 | locality mg road | live True | verified True
SQU-6000659 | house_many_floors | Kolte Patil Pavilion | independent house | 2 BHK | bath 2 | carpet 888 | super 1158 | price 11500000 | floor 22 / 22 | locality sohna road | live True | verified True
SQU-6002606 | house_many_floors | Puravankara Serenity | independent house | 2 BHK | bath 1 | carpet 888 | super 1161 | price 16180000 | floor 12 / 27 | locality sector 56 | live True | verified True
MAG-6001204 | extreme_ppsf | Adarsh Sanctuary | apartment | 2 BHK | bath 2 | carpet 80 | super 111 | price 13090000 | floor 5 / 24 | locality mg road | live True | verified True
100-6000907 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Shriram Pavilion | plot | 0 BHK | bath 0 | carpet 2007 | super 2007 | price 21970000 | floor 0 / 0 | locality sector 82 | live True | verified True
100-6000601 | house_many_floors | Adarsh Park | independent house | 2 BHK | bath 1 | carpet 839 | super 1144 | price 9770000 | floor 11 / 21 | locality new gurgaon | live True | verified True
MAG-6000363 | extreme_ppsf | Sobha Habitat | apartment | 2 BHK | bath 1 | carpet 79 | super 101 | price 9140000 | floor 5 / 6 | locality mg road | live True | verified False
DWE-6001343 | large_BHK_0balcony | My Home Willows | apartment | 4 BHK | bath 3 | carpet 1592 | super 2091 | price 15160000 | floor 5 / 15 | locality sector 49 | live True | verified True
MAG-6000025 | large_BHK_0balcony | Puravankara Sanctuary | apartment | 5 BHK | bath 5 | carpet 1980 | super 2491 | price 31850000 | floor 4 / 27 | locality golf course road | live True | verified False
MAG-6001218 | extreme_ppsf | Shriram Grand | apartment | 5 BHK | bath 4 | carpet 184 | super 265 | price 25930000 | floor 5 / 15 | locality sector 49 | live True | verified True
100-6002045 | large_BHK_0parking | Nitesh Grand | apartment | 4 BHK | bath 3 | carpet 1589 | super 2203 | price 31690000 | floor 10 / 24 | locality dlf phase 3 | live True | verified False
DWE-6001597 | large_BHK_0parking | Casagrand Habitat | apartment | 4 BHK | bath 4 | carpet 1589 | super 2017 | price 19540000 | floor 1 / 12 | locality sector 65 | live True | verified False
MAG-6001785 | extreme_ppsf | Puravankara Enclave | builder floor | 3 BHK | bath 3 | carpet 116 | super 157 | price 15060000 | floor 0 / 24 | locality sector 82 | live True | verified True
ZER-6003080 | house_many_floors | Godrej  Woods | independent house | 3 BHK | bath 3 | carpet 1272 | super 1602 | price 17390000 | floor 4 / 16 | locality sohna road | live True | verified True
DWE-6000156 | large_BHK_0parking | Aparna Boulevard | builder floor | 5 BHK | bath 5 | carpet 1942 | super 2724 | price 26350000 | floor 13 / 16 | locality sector 65 | live False | verified True
MAG-6002312 | extreme_ppsf | Aparna Terraces | apartment | 3 BHK | bath 2 | carpet 114 | super 163 | price 17640000 | floor 17 / 18 | locality sohna road | live True | verified False
SQU-6003454 | house_many_floors | Adarsh-Vista | independent house | 2 BHK | bath 1 | carpet 785 | super 1038 | price 11210000 | floor 1 / 19 | locality dwarka expressway | live True | verified False
SQU-6003344 | house_many_floors | nitesh meadows | independent house | 3 BHK | bath 2 | carpet 1212 | super 1617 | price 20930000 | floor 14 / 15 | locality golf course road | live False | verified False
ZER-6002600 | large_BHK_0parking | Aparna Park | apartment | 4 BHK | bath 4 | carpet 1557 | super 2078 | price 21350000 | floor 4 / 16 | locality sector 49 | live True | verified True
MAG-6003445 | house_many_floors,extreme_ppsf | assetz enclave | independent house | 4 BHK | bath 3 | carpet 148 | super 188 | price 18000000 | floor 3 / 16 | locality new gurgaon | live False | verified True
100-6002919 | large_BHK_0parking | Sobha Serenity | apartment | 4 BHK | bath 3 | carpet 1639 | super 2175 | price 26780000 | floor 7 / 8 | locality dlf phase 3 | live True | verified True
ZER-6002913 | large_BHK_0parking | Rohan Heights | apartment | 4 BHK | bath 3 | carpet 1666 | super 2394 | price 32960000 | floor 20 / 27 | locality sohna road | live True | verified True
ZER-6002644 | house_many_floors | Nitesh Willows | independent house | 2 BHK | bath 1 | carpet 890 | super 1286 | price 19200000 | floor 4 / 28 | locality dlf phase 3 | live True | verified True
DWE-6002418 | house_many_floors | Century Crest | independent house | 1 BHK | bath 1 | carpet 455 | super 606 | price 7480000 | floor 22 / 31 | locality sector 82 | live False | verified False
MAG-6000959 | house_many_floors,extreme_ppsf | Brigade Serenity | independent house | 3 BHK | bath 3 | carpet 108 | super 156 | price 18420000 | floor 17 / 25 | locality golf course road | live False | verified True
MAG-6000662 | house_many_floors,extreme_ppsf | Casagrand Grand | independent house | 1 BHK | bath 1 | carpet 36 | super 49 | price 7360000 | floor 18 / 28 | locality sector 82 | live False | verified False
100-6000964 | house_many_floors | Assetz Habitat | independent house | 2 BHK | bath 2 | carpet 846 | super 1130 | price 16660000 | floor 9 / 28 | locality mg road | live True | verified True
DWE-6001221 | large_BHK_0balcony | Prestige Sanctuary | apartment | 4 BHK | bath 3 | carpet 1466 | super 1975 | price 28470000 | floor 5 / 18 | locality sector 82 | live True | verified True
ZER-6002915 | house_many_floors | Adarsh Sanctuary | independent house | 3 BHK | bath 3 | carpet 1150 | super 1529 | price 15690000 | floor 14 / 25 | locality sector 49 | live False | verified True
MAG-6000403 | extreme_ppsf | My Home Heights | apartment | 5 BHK | bath 5 | carpet 189 | super 254 | price 38960000 | floor 6 / 12 | locality new gurgaon | live False | verified True
MAG-6002380 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Century Vista | plot | 0 BHK | bath 0 | carpet 2073 | super 2073 | price 18490000 | floor 0 / 0 | locality sohna road | live False | verified True
MAG-6002976 | extreme_ppsf | Mantri Habitat | apartment | 2 BHK | bath 2 | carpet 79 | super 111 | price 16040000 | floor 4 / 24 | locality mg road | live True | verified False
MAG-6000717 | extreme_ppsf | Rohan Sanctuary | apartment | 2 BHK | bath 2 | carpet 79 | super 108 | price 13120000 | floor 7 / 22 | locality golf course road | live True | verified True
100-6002951 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Willows | plot | 0 BHK | bath 0 | carpet 1803 | super 1803 | price 17050000 | floor 0 / 0 | locality sector 65 | live True | verified False
100-6003356 | large_BHK_0parking | The Adarsh Grand | apartment | 4 BHK | bath 4 | carpet 1622 | super 2306 | price 18730000 | floor 7 / 7 | locality mg road | live True | verified False
MAG-6001690 | large_BHK_0balcony,extreme_ppsf | Mantri Elite | apartment | 5 BHK | bath 5 | carpet 182 | super 246 | price 29340000 | floor 0 / 6 | locality golf course road | live True | verified False
MAG-6002615 | extreme_ppsf | Mantri Willows | apartment | 1 BHK | bath 1 | carpet 47 | super 60 | price 5740000 | floor 19 / 20 | locality new gurgaon | live True | verified True
MAG-6002452 | large_BHK_0balcony,extreme_ppsf | Rohan Crest | apartment | 4 BHK | bath 3 | carpet 148 | super 197 | price 25410000 | floor 4 / 13 | locality dlf phase 3 | live True | verified False
MAG-6003194 | extreme_ppsf | Adarsh Heights Apartments | independent house | 3 BHK | bath 2 | carpet 106 | super 149 | price 20500000 | floor 3 / 4 | locality sector 49 | live True | verified True
SQU-6000077 | large_BHK_0balcony,large_BHK_0parking | Sobha Vista | apartment | 4 BHK | bath 3 | carpet 1584 | super 2126 | price 20230000 | floor 12 / 26 | locality new gurgaon | live False | verified False
MAG-6001311 | large_BHK_0balcony,large_BHK_0parking,house_many_floors,extreme_ppsf | Lodha Boulevard | independent house | 5 BHK | bath 5 | carpet 183 | super 253 | price 22850000 | floor 8 / 15 | locality sohna road | live False | verified False
MAG-6001766 | extreme_ppsf | Mantri Woods | apartment | 2 BHK | bath 1 | carpet 85 | super 112 | price 11400000 | floor 6 / 8 | locality sector 56 | live True | verified True
MAG-6002526 | extreme_ppsf | Nitesh Boulevard | apartment | 3 BHK | bath 2 | carpet 121 | super 163 | price 21730000 | floor 0 / 13 | locality sector 65 | live True | verified False
MAG-6002384 | extreme_ppsf | Shriram Sanctuary | apartment | 3 BHK | bath 3 | carpet 105 | super 137 | price 10610000 | floor 12 / 18 | locality dwarka expressway | live True | verified True
MAG-6002594 | extreme_ppsf | Godrej Park | apartment | 1 BHK | bath 1 | carpet 42 | super 59 | price 7750000 | floor 9 / 10 | locality dwarka expressway | live False | verified True
100-6001508 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Shriram Serenity | plot | 0 BHK | bath 0 | carpet 1884 | super 1884 | price 10910000 | floor 0 / 0 | locality golf course road | live True | verified False
DWE-6000653 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Residency | plot | 0 BHK | bath 0 | carpet 1499 | super 1499 | price 10430000 | floor 0 / 0 | locality sohna road | live True | verified False
SQU-6000963 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Grand | plot | 0 BHK | bath 0 | carpet 1899 | super 1899 | price 11340000 | floor 0 / 0 | locality mg road | live True | verified False
MAG-6002985 | extreme_ppsf | Godrej Park | apartment | 4 BHK | bath 4 | carpet 150 | super 199 | price 18860000 | floor 3 / 13 | locality new gurgaon | live True | verified False
MAG-6002901 | extreme_ppsf | Brigade Terraces | apartment | 2 BHK | bath 2 | carpet 79 | super 105 | price 12710000 | floor 5 / 18 | locality mg road | live True | verified True
ZER-6000056 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Boulevard | plot | 0 BHK | bath 0 | carpet 1570 | super 1570 | price 11600000 | floor 0 / 0 | locality sector 82 | live True | verified True
MAG-6001577 | large_BHK_0parking | Shriram Vista | apartment | 4 BHK | bath 3 | carpet 1464 | super 2012 | price 20210000 | floor 11 / 28 | locality sector 56 | live True | verified True
DWE-6002789 | large_BHK_0parking | Godrej Pavilion | builder floor | 5 BHK | bath 5 | carpet 1868 | super 2553 | price 22200000 | floor 8 / 11 | locality sector 56 | live True | verified True
ZER-6000118 | house_many_floors | Assetz Heights | independent house | 2 BHK | bath 1 | carpet 874 | super 1158 | price 16680000 | floor 13 / 18 | locality sector 49 | live True | verified True
ZER-6000692 | large_BHK_0balcony | Shriram Park | apartment | 5 BHK | bath 5 | carpet 1956 | super 2741 | price 18620000 | floor 0 / 12 | locality dlf phase 3 | live False | verified False
DWE-6003068 | house_many_floors | Godrej  Sanctuary | independent house | 3 BHK | bath 2 | carpet 1250 | super 1689 | price 17720000 | floor 14 / 25 | locality sector 65 | live True | verified True
SQU-6000613 | large_BHK_0balcony,large_BHK_0parking | Nitesh Heights | apartment | 4 BHK | bath 3 | carpet 1528 | super 2056 | price 21490000 | floor 8 / 9 | locality sector 65 | live True | verified False
SQU-6002698 | large_BHK_0balcony | Salarpuria Residency | apartment | 4 BHK | bath 3 | carpet 1585 | super 2256 | price 25250000 | floor 3 / 16 | locality mg road | live False | verified True
MAG-6002905 | extreme_ppsf | Godrej Boulevard | apartment | 4 BHK | bath 3 | carpet 134 | super 185 | price 16330000 | floor 1 / 6 | locality dlf phase 3 | live True | verified False
SQU-6002364 | large_BHK_0parking | Nitesh Enclave | independent house | 5 BHK | bath 5 | carpet 1858 | super 2418 | price 29110000 | floor 8 / 8 | locality sector 82 | live True | verified False
SQU-6001982 | large_BHK_0parking | Puravankara Sanctuary | apartment | 4 BHK | bath 3 | carpet 1606 | super 2262 | price 29790000 | floor 12 / 13 | locality dlf phase 3 | live True | verified False
MAG-6000443 | extreme_ppsf | Lodha Park | apartment | 2 BHK | bath 2 | carpet 74 | super 98 | price 15200000 | floor 26 / 29 | locality golf course road | live True | verified False
DWE-6002252 | house_many_floors | Nitesh Sanctuary | independent house | 3 BHK | bath 2 | carpet 1077 | super 1420 | price 18460000 | floor 13 / 19 | locality dwarka expressway | live False | verified False
DWE-6002824 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Elite | plot | 0 BHK | bath 0 | carpet 1916 | super 1916 | price 15440000 | floor 0 / 0 | locality sector 56 | live True | verified True
ZER-6001265 | large_BHK_0parking | Nitesh Woods | apartment | 5 BHK | bath 5 | carpet 1981 | super 2513 | price 34520000 | floor 3 / 6 | locality sector 65 | live True | verified False
MAG-6000734 | house_many_floors | My Home Grand | independent house | 3 BHK | bath 3 | carpet 1272 | super 1839 | price 14360000 | floor 6 / 11 | locality dlf phase 3 | live True | verified False
ZER-6002012 | house_many_floors | Assetz Vista | independent house | 3 BHK | bath 3 | carpet 1211 | super 1539 | price 18910000 | floor 15 / 21 | locality sohna road | live False | verified False
DWE-6000210 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Heights | plot | 0 BHK | bath 0 | carpet 969 | super 969 | price 9190000 | floor 0 / 0 | locality sector 65 | live True | verified False
SQU-6002255 | large_BHK_0parking | Assetz Grand | apartment | 4 BHK | bath 3 | carpet 1555 | super 2005 | price 19720000 | floor 13 / 26 | locality sector 56 | live True | verified False
MAG-6001614 | extreme_ppsf | Kolte Patil Pavilion | apartment | 1 BHK | bath 1 | carpet 51 | super 72 | price 6300000 | floor 11 / 22 | locality mg road | live True | verified False
ZER-6000031 | large_BHK_0parking | Prestige Habitat | apartment | 4 BHK | bath 4 | carpet 1579 | super 2177 | price 24290000 | floor 7 / 13 | locality sector 49 | live True | verified True
100-6002607 | large_BHK_0balcony | Puravankara Elite | apartment | 4 BHK | bath 3 | carpet 1560 | super 2069 | price 18480000 | floor 3 / 30 | locality sohna road | live True | verified False
MAG-6000178 | extreme_ppsf | Century Greens | apartment | 2 BHK | bath 1 | carpet 77 | super 103 | price 13240000 | floor 17 / 29 | locality sector 56 | live True | verified True
MAG-6001251 | house_many_floors | Lodha Enclave | independent house | 3 BHK | bath 2 | carpet 1096 | super 1374 | price 13830000 | floor 15 / 25 | locality sector 65 | live False | verified False
DWE-6001923 | large_BHK_0balcony | Aparna Serenity | apartment | 5 BHK | bath 4 | carpet 1858 | super 2561 | price 37930000 | floor 15 / 16 | locality sohna road | live True | verified True
100-6000385 | house_many_floors | Nitesh Residency | independent house | 2 BHK | bath 1 | carpet 857 | super 1160 | price 12580000 | floor 2 / 21 | locality golf course road | live True | verified False
SQU-6001257 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Pavilion | plot | 0 BHK | bath 0 | carpet 2618 | super 2618 | price 24520000 | floor 0 / 0 | locality sector 56 | live False | verified True
MAG-6003024 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Terraces | plot | 0 BHK | bath 0 | carpet 2141 | super 2141 | price 19330000 | floor 0 / 0 | locality golf course road | live True | verified False
MAG-6001687 | house_many_floors | Lodha Enclave | independent house | 2 BHK | bath 1 | carpet 942 | super 1317 | price 10430000 | floor 3 / 25 | locality new gurgaon | live True | verified True
MAG-6001006 | extreme_ppsf | Century Serenity | apartment | 2 BHK | bath 1 | carpet 79 | super 114 | price 10440000 | floor 0 / 24 | locality sector 56 | live False | verified False
MAG-6003268 | extreme_ppsf | SALARPURIA MEADOWS | builder floor | 1 BHK | bath 1 | carpet 46 | super 62 | price 6320000 | floor 23 / 27 | locality new gurgaon | live True | verified True
DWE-6000261 | large_BHK_0parking | Rohan Greens | apartment | 4 BHK | bath 3 | carpet 1548 | super 2091 | price 15810000 | floor 9 / 16 | locality new gurgaon | live True | verified False
MAG-6001072 | extreme_ppsf | Salarpuria Greens | apartment | 3 BHK | bath 3 | carpet 109 | super 144 | price 13790000 | floor 5 / 17 | locality golf course road | live False | verified False
DWE-6002981 | large_BHK_0balcony | Aparna Woods | apartment | 5 BHK | bath 5 | carpet 1957 | super 2819 | price 40820000 | floor 8 / 30 | locality mg road | live False | verified False
SQU-6000266 | large_BHK_0balcony | Sobha Boulevard | independent house | 4 BHK | bath 4 | carpet 1499 | super 2032 | price 27800000 | floor 6 / 10 | locality dwarka expressway | live True | verified False
MAG-6000522 | extreme_ppsf | Kolte Patil Elite | villa | 4 BHK | bath 3 | carpet 145 | super 210 | price 18380000 | floor 1 / 17 | locality mg road | live True | verified True
100-6001871 | house_many_floors | Nitesh Elite | independent house | 2 BHK | bath 1 | carpet 844 | super 1168 | price 15490000 | floor 10 / 14 | locality sector 82 | live False | verified True
MAG-6000191 | extreme_ppsf | Godrej Residency | apartment | 2 BHK | bath 2 | carpet 79 | super 112 | price 13080000 | floor 12 / 17 | locality sector 56 | live True | verified False
ZER-6000278 | house_many_floors | Kolte Patil Terraces | independent house | 3 BHK | bath 3 | carpet 1150 | super 1452 | price 14600000 | floor 3 / 19 | locality golf course road | live False | verified True
DWE-6002261 | large_BHK_0balcony | Shriram Habitat | apartment | 4 BHK | bath 4 | carpet 1457 | super 1974 | price 24770000 | floor 7 / 19 | locality sector 82 | live True | verified False
DWE-6000980 | large_BHK_0parking | My Home Enclave | apartment | 5 BHK | bath 4 | carpet 1965 | super 2551 | price 28270000 | floor 9 / 13 | locality mg road | live True | verified True
SQU-6002624 | large_BHK_0balcony,house_many_floors | Sobha Serenity | independent house | 4 BHK | bath 3 | carpet 1458 | super 2026 | price 28470000 | floor 1 / 20 | locality sector 82 | live True | verified True
SQU-6003312 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand-Pavilion | plot | 0 BHK | bath 0 | carpet 2063 | super 2063 | price 17800000 | floor 0 / 0 | locality sector 65 | live True | verified True
ZER-6002574 | house_many_floors | Kolte Patil Greens | independent house | 1 BHK | bath 1 | carpet 439 | super 583 | price 8150000 | floor 3 / 15 | locality sohna road | live False | verified False
ZER-6002090 | house_many_floors | My Home Serenity | independent house | 2 BHK | bath 2 | carpet 815 | super 1129 | price 10460000 | floor 0 / 16 | locality sector 82 | live False | verified False
100-6000242 | house_many_floors | Assetz Serenity | independent house | 2 BHK | bath 2 | carpet 846 | super 1095 | price 10800000 | floor 0 / 27 | locality sector 49 | live True | verified True
SQU-6001746 | large_BHK_0parking | Kolte Patil Greens | apartment | 4 BHK | bath 3 | carpet 1584 | super 2216 | price 28620000 | floor 0 / 31 | locality sector 82 | live True | verified True
100-6002422 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Elite | plot | 0 BHK | bath 0 | carpet 1088 | super 1088 | price 5820000 | floor 0 / 0 | locality sector 82 | live True | verified False
MAG-6000745 | extreme_ppsf | Shriram Grand | apartment | 2 BHK | bath 2 | carpet 77 | super 96 | price 14640000 | floor 11 / 15 | locality sector 49 | live True | verified True
MAG-6002054 | large_BHK_0balcony,large_BHK_0parking,extreme_ppsf | Aparna Grand | apartment | 4 BHK | bath 3 | carpet 148 | super 201 | price 20200000 | floor 31 / 31 | locality sector 82 | live True | verified False
ZER-6003225 | large_BHK_0balcony | Adarsh Pavilion | apartment | 4 BHK | bath 4 | carpet 1513 | super 1888 | price 22330000 | floor 13 / 31 | locality sector 65 | live True | verified True
MAG-6003437 | extreme_ppsf | Godrej  Park | apartment | 2 BHK | bath 2 | carpet 73 | super 93 | price 8460000 | floor 4 / 9 | locality mg road | live True | verified True
MAG-6001762 | house_many_floors | Puravankara Greens | independent house | 2 BHK | bath 2 | carpet 842 | super 1202 | price 12300000 | floor 8 / 20 | locality dlf phase 3 | live True | verified False
DWE-6002140 | large_BHK_0parking | Sobha Enclave | builder floor | 4 BHK | bath 3 | carpet 1504 | super 2002 | price 27860000 | floor 2 / 5 | locality dlf phase 3 | live True | verified False
DWE-6002050 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Meadows | plot | 0 BHK | bath 0 | carpet 1504 | super 1504 | price 11370000 | floor 0 / 0 | locality sector 56 | live False | verified False
SQU-6001384 | house_many_floors | Casagrand Grand | independent house | 3 BHK | bath 3 | carpet 1166 | super 1490 | price 13100000 | floor 9 / 19 | locality golf course road | live True | verified False
SQU-6001600 | large_BHK_0balcony | Casagrand Heights | apartment | 4 BHK | bath 3 | carpet 1570 | super 2199 | price 32780000 | floor 7 / 32 | locality golf course road | live True | verified False
MAG-6000383 | extreme_ppsf | Brigade Heights | apartment | 3 BHK | bath 3 | carpet 122 | super 170 | price 27000000 | floor 1 / 5 | locality mg road | live False | verified False
100-6002036 | large_BHK_0parking | Sobha Habitat | apartment | 4 BHK | bath 3 | carpet 1540 | super 2183 | price 23940000 | floor 7 / 7 | locality new gurgaon | live True | verified False
SQU-6003388 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | The Nitesh Greens | plot | 0 BHK | bath 0 | carpet 1182 | super 1182 | price 13330000 | floor 0 / 0 | locality dlf phase 3 | live False | verified False
SQU-6001658 | large_BHK_0parking | Brigade Greens | apartment | 4 BHK | bath 4 | carpet 1558 | super 2162 | price 25900000 | floor 22 / 22 | locality sector 65 | live True | verified True
SQU-6003246 | large_BHK_0parking | Salarpuria  Greens | apartment | 4 BHK | bath 4 | carpet 1497 | super 1905 | price 14190000 | floor 1 / 6 | locality sector 56 | live True | verified True
SQU-6002780 | house_many_floors | Salarpuria Vista | independent house | 2 BHK | bath 1 | carpet 851 | super 1204 | price 16510000 | floor 11 / 20 | locality mg road | live True | verified True
MAG-6003451 | extreme_ppsf | The Prestige Crest | apartment | 4 BHK | bath 4 | carpet 140 | super 199 | price 27240000 | floor 18 / 21 | locality dwarka expressway | live True | verified False
100-6002477 | house_many_floors | Sobha Habitat | independent house | 2 BHK | bath 1 | carpet 702 | super 1011 | price 15140000 | floor 1 / 16 | locality sector 65 | live True | verified False
MAG-6003008 | extreme_ppsf | Kolte Patil Habitat | apartment | 3 BHK | bath 3 | carpet 112 | super 155 | price 12540000 | floor 11 / 14 | locality sector 82 | live True | verified False
MAG-6001857 | extreme_ppsf | Puravankara Vista | apartment | 3 BHK | bath 3 | carpet 122 | super 167 | price 13170000 | floor 2 / 7 | locality dwarka expressway | live True | verified True
